model,context,nfrs,strategy,total_clones,entries_covered,avg_codebleu,efficiency_score
deepseek-r1,requirements,nfr3,cot,1,1,0.193,5.171
gemma3:latest,minimal,nfr0,zero-shot,1,1,0.204,4.892
deepseek-r1,requirements,nfr5,zero-shot,1,1,0.215,4.642
deepseek-r1,minimal,nfr2,cot,1,1,0.229,4.37
llama4:latest,translation,nfr4,zero-shot,1,1,0.229,4.359
llama4:latest,ast,nfr2,few-shot,1,1,0.23,4.357
llama3.1:latest,translation,nfr4,zero-shot,1,1,0.236,4.234
gemma3:latest,ast,nfr1,few-shot,1,1,0.238,4.197
llama4:latest,requirements,nfr3,few-shot,1,1,0.239,4.186
llama4:latest,minimal,nfr0,few-shot,1,1,0.241,4.158
deepseek-r1,translation,nfr0,cot,1,1,0.243,4.12
llama3.1:latest,translation,nfr0,few-shot,1,1,0.243,4.11
gemma3:latest,requirements,nfr2,zero-shot,1,1,0.245,4.087
llama3.1:latest,minimal,nfr5,zero-shot,1,1,0.245,4.083
gemma3:latest,ast,nfr0,few-shot,1,1,0.249,4.021
llama4:latest,minimal,nfr5,zero-shot,1,1,0.25,4.004
deepseek-r1,ast,nfr0,cot,1,1,0.251,3.977
deepseek-r1,translation,nfr5,zero-shot,1,1,0.257,3.896
deepseek-r1,uml,nfr5,zero-shot,1,1,0.272,3.676
deepseek-r1,complete,nfr1,cot,1,1,0.272,3.673
deepseek-r1,requirements,nfr1,cot,2,2,0.276,3.621
llama4:latest,complete,nfr0,cot,1,1,0.277,3.609
gemma3:latest,uml,nfr3,few-shot,1,1,0.279,3.585
deepseek-r1,requirements,nfr0,zero-shot,2,2,0.281,3.565
deepseek-r1,translation,nfr0,few-shot,2,2,0.283,3.536
gemma3:latest,ast,nfr2,zero-shot,1,1,0.284,3.523
deepseek-r1,minimal,nfr0,cot,1,1,0.285,3.506
deepseek-r1,ast,nfr3,zero-shot,1,1,0.286,3.499
deepseek-r1,requirements,nfr2,zero-shot,1,1,0.288,3.47
deepseek-r1,ast,nfr2,cot,1,1,0.29,3.443
llama3.1:latest,minimal,nfr5,few-shot,2,2,0.292,3.419
deepseek-r1,complete,nfr2,cot,1,1,0.293,3.408
llama4:latest,requirements,nfr2,zero-shot,1,1,0.297,3.364
deepseek-r1,minimal,nfr4,zero-shot,3,3,0.298,3.356
llama3.1:latest,requirements,nfr2,zero-shot,2,2,0.3,3.337
deepseek-r1,requirements,nfr4,zero-shot,1,1,0.3,3.336
deepseek-r1,minimal,nfr2,few-shot,1,1,0.3,3.332
llama3.1:latest,minimal,nfr0,few-shot,1,1,0.301,3.322
llama4:latest,minimal,nfr2,zero-shot,2,2,0.303,3.297
deepseek-r1,uml,nfr4,zero-shot,2,2,0.305,3.284
llama3.1:latest,requirements,nfr0,few-shot,1,1,0.306,3.273
gemma3:latest,minimal,nfr2,zero-shot,1,1,0.307,3.263
deepseek-r1,minimal,nfr0,zero-shot,1,1,0.307,3.253
llama4:latest,minimal,nfr4,few-shot,1,1,0.309,3.235
gemma3:latest,minimal,nfr0,cot,1,1,0.31,3.227
deepseek-r1,translation,nfr3,zero-shot,1,1,0.31,3.225
deepseek-r1,translation,nfr1,few-shot,1,1,0.312,3.206
deepseek-r1,translation,nfr0,zero-shot,1,1,0.313,3.198
gemma3:latest,uml,nfr0,zero-shot,1,1,0.314,3.184
llama3.1:latest,requirements,nfr2,cot,2,2,0.316,3.161
llama3.1:latest,minimal,nfr2,cot,1,1,0.317,3.152
gemma3:latest,translation,nfr1,few-shot,1,1,0.32,3.125
deepseek-r1,minimal,nfr5,zero-shot,2,2,0.321,3.114
gemma3:latest,translation,nfr2,cot,1,1,0.323,3.095
llama4:latest,ast,nfr5,zero-shot,1,1,0.324,3.085
llama4:latest,ast,nfr2,cot,2,2,0.325,3.074
deepseek-r1,translation,nfr5,cot,1,1,0.326,3.07
llama4:latest,translation,nfr2,zero-shot,1,1,0.326,3.067
llama3.1:latest,complete,nfr0,zero-shot,1,1,0.33,3.029
llama4:latest,requirements,nfr4,zero-shot,1,1,0.333,3.007
deepseek-r1,minimal,nfr3,zero-shot,1,1,0.333,3.001
gemma3:latest,minimal,nfr2,few-shot,1,1,0.336,2.98
llama4:latest,requirements,nfr0,few-shot,2,2,0.336,2.98
deepseek-r1,complete,nfr4,cot,1,1,0.336,2.975
llama4:latest,translation,nfr1,zero-shot,2,2,0.336,2.973
llama3.1:latest,minimal,nfr2,few-shot,1,1,0.34,2.945
deepseek-r1,complete,nfr1,few-shot,1,1,0.34,2.945
llama4:latest,translation,nfr5,few-shot,1,1,0.341,2.932
deepseek-r1,complete,nfr5,cot,1,1,0.341,2.93
deepseek-r1,uml,nfr4,cot,1,1,0.342,2.927
llama4:latest,translation,nfr3,few-shot,1,1,0.342,2.921
deepseek-r1,minimal,nfr4,cot,2,2,0.344,2.909
deepseek-r1,minimal,nfr5,few-shot,1,1,0.344,2.907
gemma3:latest,minimal,nfr3,cot,1,1,0.345,2.902
llama3.1:latest,minimal,nfr0,cot,1,1,0.345,2.897
deepseek-r1,ast,nfr5,few-shot,2,2,0.345,2.897
gemma3:latest,requirements,nfr2,cot,1,1,0.348,2.873
llama3.1:latest,translation,nfr2,cot,1,1,0.348,2.873
llama3.1:latest,translation,nfr1,cot,1,1,0.348,2.87
llama4:latest,minimal,nfr2,few-shot,1,1,0.354,2.826
deepseek-r1,requirements,nfr3,zero-shot,1,1,0.356,2.806
deepseek-r1,requirements,nfr5,few-shot,1,1,0.361,2.77
deepseek-r1,complete,nfr0,cot,1,1,0.362,2.766
llama3.1:latest,translation,nfr4,few-shot,1,1,0.364,2.745
deepseek-r1,minimal,nfr2,zero-shot,1,1,0.364,2.745
llama3.1:latest,translation,nfr0,cot,1,1,0.369,2.71
deepseek-r1,ast,nfr4,few-shot,1,1,0.378,2.647
llama4:latest,minimal,nfr4,zero-shot,1,1,0.386,2.59
llama4:latest,complete,nfr4,cot,1,1,0.387,2.582
