model,context,nfrs,strategy,total_clones,entries_covered,avg_codebleu,efficiency_score
gemma3:latest,minimal,nfr0,zero-shot,1,1,0.192,5.212
llama4:latest,complete,nfr1,cot,1,1,0.206,4.855
gemma3:latest,ast,nfr3,zero-shot,1,1,0.211,4.731
llama3.1:latest,translation,nfr0,few-shot,1,1,0.213,4.697
deepseek-r1,requirements,nfr3,cot,1,1,0.213,4.687
gpt-oss:latest,requirements,nfr1,zero-shot,1,1,0.214,4.667
llama4:latest,minimal,nfr5,zero-shot,1,1,0.216,4.621
gpt-oss:latest,translation,nfr4,cot,1,1,0.217,4.599
gemma3:latest,ast,nfr1,few-shot,1,1,0.219,4.572
llama3.1:latest,minimal,nfr5,zero-shot,1,1,0.22,4.54
deepseek-r1,minimal,nfr1,few-shot,1,1,0.224,4.472
deepseek-r1,translation,nfr5,zero-shot,1,1,0.226,4.433
gpt-oss:latest,translation,nfr0,few-shot,1,1,0.226,4.427
llama3.1:latest,minimal,nfr5,few-shot,1,1,0.226,4.424
gpt-oss:20b,complete,nfr0,cot,1,1,0.227,4.414
deepseek-r1,requirements,nfr5,zero-shot,1,1,0.227,4.407
gpt-oss:20b,complete,nfr5,cot,1,1,0.227,4.397
gemma3:latest,requirements,nfr2,zero-shot,1,1,0.232,4.312
gpt-oss:latest,minimal,nfr3,zero-shot,1,1,0.232,4.312
deepseek-r1,requirements,nfr1,cot,2,2,0.235,4.261
deepseek-r1,ast,nfr0,cot,1,1,0.237,4.226
gemma3:latest,uml,nfr1,few-shot,1,1,0.239,4.192
deepseek-r1,minimal,nfr2,cot,1,1,0.241,4.147
gpt-oss:20b,complete,nfr3,zero-shot,1,1,0.242,4.133
gpt-oss:20b,ast,nfr2,zero-shot,2,2,0.242,4.126
gpt-oss:latest,requirements,nfr2,cot,1,1,0.244,4.097
gpt-oss:20b,minimal,nfr4,cot,2,2,0.247,4.055
deepseek-r1,ast,nfr2,zero-shot,1,1,0.247,4.042
deepseek-r1,requirements,nfr2,zero-shot,1,1,0.248,4.033
gpt-oss:20b,uml,nfr5,zero-shot,1,1,0.252,3.971
deepseek-r1,uml,nfr5,zero-shot,1,1,0.252,3.963
gpt-oss:20b,complete,nfr5,few-shot,1,1,0.255,3.926
gpt-oss:20b,uml,nfr2,zero-shot,1,1,0.255,3.921
gpt-oss:20b,ast,nfr0,zero-shot,1,1,0.255,3.918
deepseek-r1,translation,nfr5,few-shot,1,1,0.257,3.897
gpt-oss:20b,requirements,nfr1,cot,2,2,0.257,3.889
deepseek-r1,ast,nfr1,zero-shot,1,1,0.258,3.881
deepseek-r1,minimal,nfr4,zero-shot,2,2,0.262,3.815
gpt-oss:latest,uml,nfr5,zero-shot,1,1,0.264,3.783
gpt-oss:20b,complete,nfr4,cot,1,1,0.268,3.736
llama4:latest,minimal,nfr2,zero-shot,2,2,0.269,3.717
gpt-oss:20b,minimal,nfr4,zero-shot,3,3,0.27,3.71
gpt-oss:20b,minimal,nfr2,cot,2,2,0.27,3.709
llama3.1:latest,minimal,nfr2,cot,2,2,0.272,3.68
gpt-oss:latest,requirements,nfr4,cot,1,1,0.272,3.676
deepseek-r1,requirements,nfr0,zero-shot,1,1,0.273,3.664
llama3.1:latest,requirements,nfr2,cot,1,1,0.277,3.615
gpt-oss:20b,translation,nfr3,cot,2,2,0.277,3.61
gpt-oss:latest,requirements,nfr5,cot,1,1,0.278,3.601
gpt-oss:20b,complete,nfr3,cot,1,1,0.278,3.593
gpt-oss:20b,translation,nfr1,zero-shot,1,1,0.278,3.592
deepseek-r1,minimal,nfr0,zero-shot,1,1,0.282,3.545
deepseek-r1,ast,nfr4,zero-shot,1,1,0.283,3.532
